GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Chenile Proxy Utilities,org.chenile.proxy.interceptors.interpolations,ServiceSpecificClientProcessorsInterpolation,0,7,0,0,0,2,0,2,0,2
Chenile Proxy Utilities,org.chenile.proxy.interceptors.interpolations,OperationSpecificClientProcessorsInterpolation,0,7,0,0,0,2,0,2,0,2
Chenile Proxy Utilities,org.chenile.proxy.errorcodes,ErrorCodes,0,35,0,0,0,6,0,3,0,3
Chenile Proxy Utilities,org.chenile.proxy.interceptors,ChenileResponseHandler,49,64,2,4,13,17,3,6,1,5
Chenile Proxy Utilities,org.chenile.proxy.interceptors,HttpInvoker,54,241,14,13,10,55,12,11,0,8
Chenile Proxy Utilities,org.chenile.proxy.interceptors,LocalProxyInvoker,0,21,1,1,0,7,1,2,0,2
Chenile Proxy Utilities,org.chenile.proxy.interceptors,ResponseBodyTypeSelector,23,30,2,2,6,8,2,2,0,2
Chenile Proxy Utilities,org.chenile.proxy.interceptors,ProxyTypeRouter,3,38,1,3,1,9,1,5,0,4
Chenile Proxy Utilities,org.chenile.proxy.interceptors,ChenileResponseHandler.new TypeReference() {...},0,12,0,0,0,2,0,2,0,2
Chenile Proxy Utilities,org.chenile.configuration.proxy,ProxyConfiguration,0,71,0,0,0,17,0,12,0,12
Chenile Proxy Utilities,org.chenile.configuration.proxy,ProxyConfiguration.new BeanFactoryAdapter() {...},0,12,0,0,0,2,0,2,0,2
Chenile Proxy Utilities,org.chenile.proxy.builder,ProxyBuilder.ProxyClass,5,120,3,9,2,30,3,8,0,4
Chenile Proxy Utilities,org.chenile.proxy.builder,ProxyBuilder.ProxyMode,0,21,0,0,0,4,0,1,0,1
Chenile Proxy Utilities,org.chenile.proxy.builder,ProxyBuilder,0,34,0,0,0,5,0,3,0,3
